timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms,traffic_signal_status,traffic_density_status,green_time_seconds
2025-11-02T21:26:05.403238,cam_2_v2,0,0,0,0,0,0,0.0,5038.130044937134,RED,LOW,0
2025-11-02T21:26:05.835337,cam_4_v4,1,0,0,0,0,0,0.0,1734.0209484100342,RED,LOW,0
2025-11-02T21:26:06.255105,cam_3_v3,1,23,3,0,0,26,0.7503198981285095,1530.7600498199463,RED,HIGH,0
2025-11-02T21:26:06.726538,cam_1_v1,1,1,0,0,2,3,0.43832072615623474,1662.9695892333984,GREEN,LOW,30
2025-11-02T21:26:07.141706,cam_2_v2,1,3,0,0,0,3,0.8246199488639832,1612.6489639282227,RED,LOW,0
2025-11-02T21:26:07.543920,cam_4_v4,2,0,0,0,0,0,0.0,1604.266881942749,RED,LOW,0
2025-11-02T21:26:08.014985,cam_3_v3,2,23,2,0,0,25,0.7588115930557251,1535.7439517974854,RED,HIGH,0
2025-11-02T21:26:08.460087,cam_1_v1,2,1,1,0,1,3,0.4396275579929352,1626.842975616455,GREEN,LOW,30
2025-11-02T21:26:08.868636,cam_2_v2,2,5,0,0,0,5,0.7487260699272156,1635.7250213623047,RED,LOW,0
2025-11-02T21:26:09.290688,cam_4_v4,3,0,0,0,0,0,0.0,1648.9841938018799,RED,LOW,0
2025-11-02T21:26:09.826933,cam_3_v3,3,22,2,0,0,24,0.7807366251945496,1566.6582584381104,RED,HIGH,0
2025-11-02T21:26:10.291690,cam_1_v1,3,1,0,0,1,2,0.5263516902923584,1728.4977436065674,GREEN,LOW,30
