timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms,traffic_signal_status,traffic_density_status,green_time_seconds
2025-11-02T21:26:43.320305,cam_2_v2,21,5,0,0,2,7,0.8828994035720825,1679.8069477081299,GREEN,MEDIUM,30
2025-11-02T21:26:43.724549,cam_4_v4,22,0,0,0,0,0,0.0,1674.6318340301514,RED,LOW,0
2025-11-02T21:26:44.182260,cam_3_v3,22,21,2,0,0,23,0.7901709079742432,1541.7866706848145,RED,HIGH,0
2025-11-02T21:26:44.623633,cam_1_v1,22,4,0,0,0,4,0.7006321549415588,1666.5596961975098,RED,LOW,0
2025-11-02T21:26:45.049924,cam_2_v2,22,5,0,0,2,7,0.8747437596321106,1639.5130157470703,GREEN,MEDIUM,30
2025-11-02T21:26:45.420741,cam_4_v4,23,0,0,0,0,0,0.0,1604.9165725708008,RED,LOW,0
2025-11-02T21:26:45.872570,cam_3_v3,23,23,2,0,0,25,0.7574645280838013,1464.6151065826416,RED,HIGH,0
2025-11-02T21:26:46.381652,cam_1_v1,23,6,0,0,0,6,0.6435748934745789,1676.551342010498,RED,MEDIUM,0
2025-11-02T21:26:46.776880,cam_2_v2,23,5,0,0,2,7,0.8367366790771484,1644.1967487335205,GREEN,MEDIUM,30
2025-11-02T21:26:47.172878,cam_4_v4,24,0,0,0,0,0,0.0,1663.3596420288086,RED,LOW,0
2025-11-02T21:26:47.609625,cam_3_v3,24,21,2,0,0,23,0.786555826663971,1509.9427700042725,RED,HIGH,0
2025-11-02T21:26:48.047671,cam_1_v1,24,5,0,0,0,5,0.6384331583976746,1575.6711959838867,RED,LOW,0
2025-11-02T21:26:48.426352,cam_2_v2,24,5,2,0,2,9,0.6949093341827393,1543.5974597930908,GREEN,MEDIUM,30
