timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms
2025-11-01T21:58:43.966983,camera_1_video1,118,34,0,1,1,36,0.6694309711456299,131.6366195678711
2025-11-01T21:58:44.050089,camera_2_video2,118,1,0,0,0,1,0.40168291330337524,116.86110496520996
2025-11-01T21:58:44.167091,camera_1_video1,119,36,0,1,1,38,0.6641862392425537,153.52225303649902
2025-11-01T21:58:44.247532,camera_2_video2,119,1,0,0,0,1,0.2611035704612732,146.93760871887207
2025-11-01T21:58:44.344397,camera_1_video1,120,35,0,1,1,37,0.6738331913948059,129.25267219543457
2025-11-01T21:58:44.417844,camera_2_video2,120,1,0,0,0,1,0.3553164601325989,119.96030807495117
2025-11-01T21:58:44.520940,camera_1_video1,121,33,0,1,1,35,0.6722353100776672,127.44760513305664
2025-11-01T21:58:44.628542,camera_2_video2,121,1,0,0,0,1,0.43327027559280396,164.3233299255371
2025-11-01T21:58:44.737029,camera_1_video1,122,34,0,1,1,36,0.6504552364349365,166.9623851776123
2025-11-01T21:58:44.826392,camera_2_video2,122,0,0,0,0,0,0.0,149.7814655303955
2025-11-01T21:58:44.929833,camera_1_video1,123,32,2,1,2,37,0.6564400792121887,143.85604858398438
2025-11-01T21:58:45.020363,camera_2_video2,123,1,0,0,0,1,0.42700982093811035,147.05443382263184
2025-11-01T21:58:45.151558,camera_1_video1,124,30,1,1,1,33,0.717029333114624,173.73156547546387
2025-11-01T21:58:45.257910,camera_2_video2,124,1,0,0,0,1,0.2636183202266693,187.26873397827148
2025-11-01T21:58:45.386350,camera_1_video1,125,31,0,1,1,33,0.7242757081985474,183.70985984802246
2025-11-01T21:58:45.477404,camera_2_video2,125,1,0,0,0,1,0.3652346730232239,171.31686210632324
2025-11-01T21:58:45.594618,camera_1_video1,126,34,1,1,1,37,0.6825889945030212,159.63363647460938
2025-11-01T21:58:45.719019,camera_2_video2,126,1,0,0,0,1,0.4359540641307831,193.55320930480957
2025-11-01T21:58:45.878357,camera_1_video1,127,29,0,1,0,30,0.7486584782600403,233.09755325317383
2025-11-01T21:58:45.985000,camera_2_video2,127,1,0,0,0,1,0.413690984249115,206.12215995788574
2025-11-01T21:58:46.096106,camera_1_video1,128,33,0,1,0,34,0.7005282640457153,167.4058437347412
2025-11-01T21:58:46.183113,camera_2_video2,128,1,0,0,0,1,0.42476627230644226,147.6583480834961
2025-11-01T21:58:46.298656,camera_1_video1,129,28,0,1,0,29,0.7142719626426697,151.8862247467041
2025-11-01T21:58:46.400045,camera_2_video2,129,1,0,0,0,1,0.36258020997047424,168.11299324035645
2025-11-01T21:58:46.517928,camera_1_video1,130,29,0,1,0,30,0.6618155837059021,164.6268367767334
2025-11-01T21:58:46.624826,camera_2_video2,130,1,1,0,0,2,0.5012602806091309,173.875093460083
2025-11-01T21:58:46.734231,camera_1_video1,131,34,0,1,0,35,0.6521763801574707,168.33186149597168
2025-11-01T21:58:46.822266,camera_2_video2,131,1,0,0,0,1,0.4789985120296478,144.58084106445312
2025-11-01T21:58:46.921696,camera_1_video1,132,33,0,1,1,35,0.6451665163040161,139.98794555664062
2025-11-01T21:58:47.021145,camera_2_video2,132,1,0,0,0,1,0.3981376588344574,144.12355422973633
2025-11-01T21:58:47.136313,camera_1_video1,133,33,0,1,2,36,0.6866520643234253,161.43202781677246
2025-11-01T21:58:47.302862,camera_2_video2,133,1,0,0,0,1,0.39194220304489136,233.24251174926758
2025-11-01T21:58:47.447616,camera_1_video1,134,34,0,1,1,36,0.6713081002235413,250.34260749816895
2025-11-01T21:58:47.587578,camera_2_video2,134,1,0,0,0,1,0.35632503032684326,232.42759704589844
2025-11-01T21:58:47.797238,camera_1_video1,135,35,0,1,0,36,0.6741406917572021,296.71359062194824
2025-11-01T21:58:47.953404,camera_2_video2,135,2,0,0,0,2,0.3083689510822296,301.19919776916504
2025-11-01T21:58:48.178186,camera_1_video1,136,35,0,1,0,36,0.689520537853241,324.16272163391113
2025-11-01T21:58:48.354504,camera_2_video2,136,1,0,0,0,1,0.3289973735809326,349.73716735839844
2025-11-01T21:58:48.500344,camera_1_video1,137,36,0,1,1,38,0.6365072131156921,261.4114284515381
2025-11-01T21:58:48.639746,camera_2_video2,137,1,0,0,0,1,0.5044125318527222,232.59711265563965
2025-11-01T21:58:48.777093,camera_1_video1,138,33,0,1,0,34,0.6583428978919983,219.84457969665527
2025-11-01T21:58:48.918632,camera_2_video2,138,1,0,0,0,1,0.43940469622612,225.91853141784668
2025-11-01T21:58:49.041810,camera_1_video1,139,40,0,1,0,41,0.6657837629318237,210.13236045837402
