timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms,traffic_signal_status,traffic_density_status,green_time_seconds
2025-11-02T21:27:03.119206,cam_1_v1,55,15,0,0,0,15,0.7047761678695679,177.59203910827637,RED,MEDIUM,0
2025-11-02T21:27:03.196952,cam_2_v2,55,4,1,0,2,7,0.835862934589386,197.7999210357666,RED,MEDIUM,0
2025-11-02T21:27:03.255527,cam_4_v4,56,0,0,0,0,0,0.0,199.7082233428955,RED,LOW,0
2025-11-02T21:27:03.310448,cam_3_v3,56,21,4,0,0,25,0.7605059146881104,157.93704986572266,GREEN,HIGH,30
2025-11-02T21:27:03.387727,cam_1_v1,56,13,0,0,0,13,0.690838098526001,213.02437782287598,RED,MEDIUM,0
2025-11-02T21:27:03.436638,cam_2_v2,56,3,1,0,2,6,0.8774891495704651,187.12186813354492,RED,MEDIUM,0
2025-11-02T21:27:03.482578,cam_4_v4,57,1,0,0,0,1,0.3442811369895935,178.20978164672852,RED,LOW,0
2025-11-02T21:27:03.536151,cam_3_v3,57,20,3,0,0,23,0.7978759407997131,150.43163299560547,GREEN,HIGH,30
2025-11-02T21:27:03.613566,cam_1_v1,57,12,0,0,0,12,0.6753005981445312,176.92828178405762,RED,MEDIUM,0
2025-11-02T21:27:03.664113,cam_2_v2,57,4,1,0,2,7,0.7962010502815247,182.539701461792,RED,MEDIUM,0
2025-11-02T21:27:03.717707,cam_4_v4,58,0,0,0,0,0,0.0,175.82035064697266,RED,LOW,0
2025-11-02T21:27:03.776690,cam_3_v3,58,20,3,0,0,23,0.7944054007530212,167.13786125183105,GREEN,HIGH,30
2025-11-02T21:27:03.911900,cam_1_v1,58,14,0,0,0,14,0.6824866533279419,249.78923797607422,RED,MEDIUM,0
2025-11-02T21:27:03.968901,cam_2_v2,58,3,3,0,3,9,0.7069808840751648,255.2013397216797,RED,MEDIUM,0
2025-11-02T21:27:04.019241,cam_4_v4,59,0,0,0,0,0,0.0,244.55571174621582,RED,LOW,0
2025-11-02T21:27:04.078283,cam_3_v3,59,20,4,0,0,24,0.7807157635688782,220.7636833190918,GREEN,HIGH,30
2025-11-02T21:27:04.190135,cam_1_v1,59,15,0,0,0,15,0.6847574710845947,227.24628448486328,RED,MEDIUM,0
2025-11-02T21:27:04.246937,cam_2_v2,59,3,2,0,2,7,0.6947559714317322,229.70223426818848,RED,MEDIUM,0
2025-11-02T21:27:04.311367,cam_4_v4,60,1,0,0,0,1,0.25247323513031006,237.0927333831787,RED,LOW,0
2025-11-02T21:27:04.369047,cam_3_v3,60,19,3,0,0,22,0.8064131140708923,204.5421600341797,GREEN,HIGH,30
2025-11-02T21:27:04.459924,cam_1_v1,60,15,0,0,0,15,0.6984432935714722,214.99252319335938,RED,MEDIUM,0
2025-11-02T21:27:04.516507,cam_2_v2,60,2,1,0,3,6,0.7286203503608704,209.14697647094727,RED,MEDIUM,0
2025-11-02T21:27:04.583141,cam_4_v4,61,1,0,0,0,1,0.3098362982273102,220.1058864593506,RED,LOW,0
2025-11-02T21:27:04.641682,cam_3_v3,61,19,3,0,0,22,0.8121036887168884,195.86706161499023,GREEN,HIGH,30
2025-11-02T21:27:04.712275,cam_1_v1,61,12,0,0,0,12,0.6413636803627014,199.77736473083496,RED,MEDIUM,0
2025-11-02T21:27:04.766301,cam_2_v2,61,3,1,0,2,6,0.7477063536643982,193.30692291259766,RED,MEDIUM,0
2025-11-02T21:27:04.814866,cam_4_v4,62,0,0,0,0,0,0.0,185.29891967773438,RED,LOW,0
2025-11-02T21:27:04.871865,cam_3_v3,62,19,3,0,0,22,0.8035343289375305,165.68589210510254,GREEN,HIGH,30
2025-11-02T21:27:04.971344,cam_1_v1,62,17,0,0,0,17,0.5606502294540405,213.15956115722656,RED,HIGH,0
2025-11-02T21:27:05.036486,cam_2_v2,62,3,1,0,3,7,0.7261595129966736,225.37684440612793,RED,MEDIUM,0
2025-11-02T21:27:05.146676,cam_4_v4,63,2,0,0,0,2,0.5911446809768677,274.8110294342041,RED,LOW,0
2025-11-02T21:27:05.206393,cam_3_v3,63,19,3,0,0,22,0.8091303110122681,267.3070430755615,GREEN,HIGH,30
2025-11-02T21:27:05.302667,cam_1_v1,63,15,0,0,0,15,0.6641771793365479,276.2939929962158,RED,MEDIUM,0
2025-11-02T21:27:05.363953,cam_2_v2,63,3,2,0,2,7,0.6962230801582336,271.65818214416504,RED,MEDIUM,0
2025-11-02T21:27:05.428801,cam_4_v4,64,2,0,0,0,2,0.47004836797714233,232.54108428955078,RED,LOW,0
2025-11-02T21:27:05.486665,cam_3_v3,64,19,3,0,0,22,0.8119041323661804,204.12039756774902,GREEN,HIGH,30
2025-11-02T21:27:05.583604,cam_1_v1,64,13,0,0,0,13,0.7363383769989014,227.77795791625977,RED,MEDIUM,0
2025-11-02T21:27:05.650444,cam_2_v2,64,2,2,0,3,7,0.7802243232727051,229.75826263427734,RED,MEDIUM,0
2025-11-02T21:27:05.715158,cam_4_v4,65,1,0,0,0,1,0.33090677857398987,234.50279235839844,RED,LOW,0
2025-11-02T21:27:05.771809,cam_3_v3,65,18,3,0,0,21,0.8334177136421204,210.33120155334473,GREEN,HIGH,30
2025-11-02T21:27:05.868632,cam_1_v1,65,12,0,0,0,12,0.677268922328949,229.74705696105957,RED,MEDIUM,0
2025-11-02T21:27:05.939335,cam_2_v2,65,2,2,0,3,7,0.8146055340766907,234.2979907989502,RED,MEDIUM,0
2025-11-02T21:27:06.003875,cam_4_v4,66,0,0,0,0,0,0.0,242.08617210388184,RED,LOW,0
2025-11-02T21:27:06.060306,cam_3_v3,66,19,3,0,0,22,0.8186655640602112,217.80824661254883,GREEN,HIGH,30
2025-11-02T21:27:06.182597,cam_1_v1,66,11,0,0,0,11,0.6411523222923279,261.4929676055908,RED,MEDIUM,0
2025-11-02T21:27:06.256394,cam_2_v2,66,4,2,0,3,9,0.7270013093948364,270.63536643981934,RED,MEDIUM,0
2025-11-02T21:27:06.329317,cam_4_v4,67,0,0,0,0,0,0.0,271.11077308654785,RED,LOW,0
2025-11-02T21:27:06.383055,cam_3_v3,67,20,3,0,0,23,0.7977588772773743,253.83830070495605,GREEN,HIGH,30
2025-11-02T21:27:06.461902,cam_1_v1,67,11,0,0,0,11,0.6857916712760925,225.64077377319336,RED,MEDIUM,0
2025-11-02T21:27:06.514945,cam_2_v2,67,4,2,0,3,9,0.7548463344573975,205.85107803344727,RED,MEDIUM,0
