timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms,traffic_signal_status,traffic_density_status,green_time_seconds
2025-11-02T19:41:08.960227,cam_1_video1,130,29,1,0,0,30,0.6618155837059021,485.1822853088379,GREEN,HIGH,30
2025-11-02T19:41:09.235638,cam_2_video2,130,2,0,0,0,2,0.5012602806091309,522.9108333587646,RED,LOW,0
2025-11-02T19:41:09.547975,cam_1_video1,131,34,1,0,0,35,0.6521763801574707,503.67021560668945,GREEN,HIGH,30
2025-11-02T19:41:09.837544,cam_2_video2,131,1,0,0,0,1,0.4789985120296478,526.7562866210938,RED,LOW,0
2025-11-02T19:41:10.124145,cam_1_video1,132,33,1,0,1,35,0.6451665163040161,493.67833137512207,GREEN,HIGH,30
2025-11-02T19:41:10.422995,cam_2_video2,132,1,0,0,0,1,0.3981376588344574,506.9894790649414,RED,LOW,0
2025-11-02T19:41:10.737388,cam_1_video1,133,33,1,0,2,36,0.6866520643234253,539.9014949798584,GREEN,HIGH,30
2025-11-02T19:41:11.039483,cam_2_video2,133,1,0,0,0,1,0.39194220304489136,541.4037704467773,RED,LOW,0
2025-11-02T19:41:11.306838,cam_1_video1,134,34,1,0,1,36,0.6713081002235413,490.4305934906006,GREEN,HIGH,30
2025-11-02T19:41:11.567010,cam_2_video2,134,1,0,0,0,1,0.35632503032684326,459.8093032836914,RED,LOW,0
2025-11-02T19:41:11.879979,cam_1_video1,135,35,1,0,0,36,0.6741406917572021,493.83544921875,GREEN,HIGH,30
2025-11-02T19:41:12.124014,cam_2_video2,135,2,0,0,0,2,0.3083689510822296,480.6938171386719,RED,LOW,0
2025-11-02T19:41:12.500112,cam_1_video1,136,35,1,0,0,36,0.689520537853241,540.9564971923828,GREEN,HIGH,30
2025-11-02T19:41:12.826803,cam_2_video2,136,1,0,0,0,1,0.3289973735809326,625.6082057952881,RED,LOW,0
2025-11-02T19:41:13.079398,cam_1_video1,137,36,1,0,1,38,0.6365072131156921,502.93827056884766,GREEN,HIGH,30
2025-11-02T19:41:13.320346,cam_2_video2,137,1,0,0,0,1,0.5044125318527222,427.5169372558594,RED,LOW,0
2025-11-02T19:41:13.589074,cam_1_video1,138,33,1,0,0,34,0.6583428978919983,438.42363357543945,GREEN,HIGH,30
2025-11-02T19:41:13.811688,cam_2_video2,138,1,0,0,0,1,0.43940469622612,428.1156063079834,RED,LOW,0
