timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms,traffic_signal_status,traffic_density_status,green_time_seconds
2025-11-02T21:27:06.575616,cam_4_v4,68,1,0,0,0,1,0.5338677763938904,200.2737522125244,RED,LOW,0
2025-11-02T21:27:06.637778,cam_3_v3,68,21,3,0,0,24,0.7770609855651855,179.8851490020752,GREEN,HIGH,30
2025-11-02T21:27:06.710465,cam_1_v1,68,14,0,0,0,14,0.6444894075393677,191.511869430542,RED,MEDIUM,0
2025-11-02T21:27:06.763218,cam_2_v2,68,4,2,0,3,9,0.7980915904045105,201.72905921936035,RED,MEDIUM,0
2025-11-02T21:27:06.807677,cam_4_v4,69,0,0,0,0,0,0.0,188.02618980407715,RED,LOW,0
2025-11-02T21:27:06.867152,cam_3_v3,69,22,3,0,0,25,0.7592053413391113,162.69803047180176,GREEN,HIGH,30
2025-11-02T21:27:06.943822,cam_1_v1,69,15,0,0,0,15,0.662905752658844,184.70263481140137,RED,MEDIUM,0
2025-11-02T21:27:06.996600,cam_2_v2,69,4,2,0,3,9,0.7943851947784424,172.73902893066406,RED,MEDIUM,0
2025-11-02T21:27:07.042968,cam_4_v4,70,0,0,0,0,0,0.0,185.57381629943848,RED,LOW,0
2025-11-02T21:27:07.103665,cam_3_v3,70,22,3,0,0,25,0.7551040053367615,163.85245323181152,GREEN,HIGH,30
2025-11-02T21:27:07.189441,cam_1_v1,70,15,0,0,0,15,0.6262254118919373,194.84710693359375,RED,MEDIUM,0
2025-11-02T21:27:07.250110,cam_2_v2,70,4,2,0,3,9,0.7521426677703857,193.08829307556152,RED,MEDIUM,0
2025-11-02T21:27:07.298856,cam_4_v4,71,1,0,0,0,1,0.6886844635009766,209.3517780303955,RED,LOW,0
2025-11-02T21:27:07.356013,cam_3_v3,71,22,4,0,0,26,0.7439994215965271,180.73225021362305,GREEN,HIGH,30
2025-11-02T21:27:07.441264,cam_1_v1,71,15,0,0,0,15,0.6767686605453491,195.07360458374023,RED,MEDIUM,0
2025-11-02T21:27:07.495738,cam_2_v2,71,4,2,0,3,9,0.8066688179969788,196.8822479248047,RED,MEDIUM,0
2025-11-02T21:27:07.568275,cam_4_v4,72,0,0,0,0,0,0.0,212.26263046264648,RED,LOW,0
2025-11-02T21:27:07.627579,cam_3_v3,72,21,4,0,0,25,0.7648024559020996,202.1780014038086,GREEN,HIGH,30
2025-11-02T21:27:07.721951,cam_1_v1,72,16,0,0,0,16,0.666358232498169,234.3270778656006,RED,HIGH,0
2025-11-02T21:27:07.784542,cam_2_v2,72,5,1,0,3,9,0.7621988654136658,237.40553855895996,RED,MEDIUM,0
2025-11-02T21:27:07.835416,cam_4_v4,73,0,0,0,0,0,0.0,212.42904663085938,RED,LOW,0
2025-11-02T21:27:07.892278,cam_3_v3,73,21,4,0,0,25,0.7602559924125671,186.3555908203125,GREEN,HIGH,30
2025-11-02T21:27:07.955544,cam_1_v1,73,14,0,0,0,14,0.7353110313415527,183.1347942352295,RED,MEDIUM,0
2025-11-02T21:27:08.012793,cam_2_v2,73,5,1,0,3,9,0.7076873779296875,183.39776992797852,RED,MEDIUM,0
2025-11-02T21:27:08.062262,cam_4_v4,74,0,0,0,0,0,0.0,173.54178428649902,RED,LOW,0
2025-11-02T21:27:08.121898,cam_3_v3,74,23,4,0,0,27,0.7332799434661865,170.73655128479004,GREEN,HIGH,30
2025-11-02T21:27:08.174473,cam_1_v1,74,14,0,0,0,14,0.712774395942688,169.8000431060791,RED,MEDIUM,0
2025-11-02T21:27:08.243242,cam_2_v2,74,3,1,0,3,7,0.8702120184898376,173.96306991577148,RED,MEDIUM,0
2025-11-02T21:27:08.300420,cam_4_v4,75,0,0,0,0,0,0.0,194.66829299926758,RED,LOW,0
2025-11-02T21:27:08.360964,cam_3_v3,75,22,4,0,0,26,0.7519500255584717,162.14442253112793,GREEN,HIGH,30
2025-11-02T21:27:08.460038,cam_1_v1,75,13,0,0,0,13,0.6785402894020081,233.3989143371582,RED,MEDIUM,0
2025-11-02T21:27:08.528705,cam_2_v2,75,3,1,0,3,7,0.8315877914428711,222.5327491760254,RED,MEDIUM,0
2025-11-02T21:27:08.593324,cam_4_v4,76,0,0,0,0,0,0.0,240.53668975830078,RED,LOW,0
2025-11-02T21:27:08.640943,cam_3_v3,76,22,3,0,0,25,0.7615445852279663,213.2554054260254,GREEN,HIGH,30
2025-11-02T21:27:08.714754,cam_1_v1,76,15,0,0,0,15,0.6693910360336304,209.29479598999023,RED,MEDIUM,0
2025-11-02T21:27:08.775409,cam_2_v2,76,3,1,0,3,7,0.8165349960327148,188.20810317993164,RED,MEDIUM,0
2025-11-02T21:27:08.827784,cam_4_v4,77,0,0,0,0,0,0.0,179.81719970703125,RED,LOW,0
2025-11-02T21:27:08.882414,cam_3_v3,77,22,3,0,0,25,0.7490910291671753,179.7788143157959,GREEN,HIGH,30
2025-11-02T21:27:08.983469,cam_1_v1,77,16,0,0,0,16,0.6213869452476501,222.1996784210205,RED,HIGH,0
2025-11-02T21:27:09.042143,cam_2_v2,77,3,1,0,2,6,0.8787853717803955,220.50738334655762,RED,MEDIUM,0
2025-11-02T21:27:09.090594,cam_4_v4,78,0,0,0,0,0,0.0,204.17094230651855,RED,LOW,0
2025-11-02T21:27:09.144881,cam_3_v3,78,20,3,0,0,23,0.7774054408073425,193.6666965484619,GREEN,HIGH,30
2025-11-02T21:27:09.321829,cam_1_v1,78,11,0,0,0,11,0.6707038283348083,76.8270492553711,RED,MEDIUM,0
2025-11-02T21:27:09.394533,cam_2_v2,78,3,1,0,2,6,0.8397069573402405,137.44711875915527,RED,MEDIUM,0
2025-11-02T21:27:09.448294,cam_4_v4,79,0,0,0,0,0,0.0,187.00933456420898,RED,LOW,0
2025-11-02T21:27:09.505066,cam_3_v3,79,21,3,0,0,24,0.7628293633460999,211.42339706420898,GREEN,HIGH,30
2025-11-02T21:27:09.584578,cam_1_v1,79,16,0,0,0,16,0.6272253394126892,175.78577995300293,RED,HIGH,0
2025-11-02T21:27:09.636263,cam_2_v2,79,3,1,0,2,6,0.8720030188560486,181.85806274414062,RED,MEDIUM,0
2025-11-02T21:27:09.676585,cam_4_v4,80,0,0,0,0,0,0.0,179.534912109375,RED,LOW,0
2025-11-02T21:27:09.736014,cam_3_v3,80,21,3,0,0,24,0.7684934139251709,159.96503829956055,GREEN,HIGH,30
