timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms
2025-11-01T21:41:17.341869,camera_2_video2,113,1,0,0,0,1,0.43975252,151.52668952941895
2025-11-01T21:41:17.427086,camera_1_video1,114,32,0,0,1,33,0.7263195,137.55130767822266
2025-11-01T21:41:17.502594,camera_2_video2,114,1,0,0,0,1,0.43971458,116.14584922790527
2025-11-01T21:41:17.593014,camera_1_video1,115,31,0,0,2,33,0.71970326,116.73331260681152
2025-11-01T21:41:17.660248,camera_2_video2,115,1,0,0,0,1,0.4617651,97.60475158691406
2025-11-01T21:41:17.749501,camera_1_video1,116,34,0,0,2,36,0.6619325,111.35387420654297
2025-11-01T21:41:17.821533,camera_2_video2,116,1,0,0,0,1,0.26989812,114.37129974365234
2025-11-01T21:41:17.922262,camera_1_video1,117,29,0,1,3,33,0.69002736,129.05263900756836
2025-11-01T21:41:18.016095,camera_2_video2,117,2,0,0,0,2,0.45549718,144.15669441223145
2025-11-01T21:41:18.108560,camera_1_video1,118,34,0,1,1,36,0.669431,135.04958152770996
