timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms
2025-11-01T21:58:38.841908,camera_2_video2,94,1,0,0,0,1,0.5386026501655579,155.89380264282227
2025-11-01T21:58:38.944209,camera_1_video1,95,34,1,1,0,36,0.6494050621986389,148.9584445953369
2025-11-01T21:58:39.025245,camera_2_video2,95,1,0,0,0,1,0.3315819501876831,137.8793716430664
2025-11-01T21:58:39.126045,camera_1_video1,96,34,0,2,0,36,0.6542365550994873,134.90724563598633
2025-11-01T21:58:39.214470,camera_2_video2,96,1,0,0,0,1,0.39561110734939575,137.03083992004395
2025-11-01T21:58:39.311903,camera_1_video1,97,27,0,2,0,29,0.6705977916717529,137.75372505187988
2025-11-01T21:58:39.399136,camera_2_video2,97,0,0,0,0,0,0.0,131.7007541656494
2025-11-01T21:58:39.558830,camera_1_video1,98,27,0,1,0,28,0.683885931968689,200.24824142456055
2025-11-01T21:58:39.665577,camera_2_video2,98,1,0,0,0,1,0.4992326498031616,212.04686164855957
2025-11-01T21:58:39.772297,camera_1_video1,99,29,0,1,0,30,0.6454988718032837,165.1442050933838
2025-11-01T21:58:39.865440,camera_2_video2,99,1,0,0,0,1,0.5033474564552307,153.9316177368164
2025-11-01T21:58:39.982669,camera_1_video1,100,30,0,2,0,32,0.6127220392227173,159.81483459472656
2025-11-01T21:58:40.076994,camera_2_video2,100,1,0,0,0,1,0.4804571270942688,164.71409797668457
2025-11-01T21:58:40.185813,camera_1_video1,101,32,0,1,0,33,0.6040253639221191,151.0004997253418
2025-11-01T21:58:40.270919,camera_2_video2,101,1,1,0,0,2,0.5668781995773315,147.7680206298828
2025-11-01T21:58:40.364032,camera_1_video1,102,29,0,0,1,30,0.6837562918663025,131.5608024597168
2025-11-01T21:58:40.454885,camera_2_video2,102,1,0,0,0,1,0.5330908894538879,135.2400779724121
2025-11-01T21:58:40.596887,camera_1_video1,103,28,0,0,1,29,0.6414773464202881,186.82122230529785
2025-11-01T21:58:40.693938,camera_2_video2,103,1,0,0,0,1,0.43576493859291077,192.14892387390137
2025-11-01T21:58:40.818643,camera_1_video1,104,27,0,3,0,30,0.6409743428230286,175.10628700256348
2025-11-01T21:58:40.946619,camera_2_video2,104,1,0,0,0,1,0.41030535101890564,202.70586013793945
2025-11-01T21:58:41.113134,camera_1_video1,105,32,0,3,1,36,0.6203104257583618,237.47539520263672
2025-11-01T21:58:41.249574,camera_2_video2,105,1,0,0,0,1,0.3419511914253235,252.17628479003906
2025-11-01T21:58:41.384443,camera_1_video1,106,36,0,1,0,37,0.6252039074897766,218.60980987548828
2025-11-01T21:58:41.512263,camera_2_video2,106,2,0,0,0,2,0.580253005027771,214.53356742858887
2025-11-01T21:58:41.644403,camera_1_video1,107,34,0,2,1,37,0.6484339833259583,211.22360229492188
2025-11-01T21:58:41.765677,camera_2_video2,107,2,0,0,0,2,0.46390634775161743,200.29807090759277
2025-11-01T21:58:41.878843,camera_1_video1,108,31,0,1,0,32,0.6676467657089233,184.1132640838623
2025-11-01T21:58:41.996429,camera_2_video2,108,2,0,0,0,2,0.6179494857788086,177.6597499847412
2025-11-01T21:58:42.097648,camera_1_video1,109,30,0,2,0,32,0.6580935120582581,168.36214065551758
2025-11-01T21:58:42.191187,camera_2_video2,109,2,0,0,0,2,0.5570083856582642,148.61106872558594
2025-11-01T21:58:42.304578,camera_1_video1,110,31,0,2,1,34,0.673145055770874,160.16292572021484
2025-11-01T21:58:42.387311,camera_2_video2,110,1,0,0,0,1,0.3687560558319092,149.3515968322754
2025-11-01T21:58:42.502695,camera_1_video1,111,30,0,3,0,33,0.6903046369552612,149.22642707824707
2025-11-01T21:58:42.632494,camera_2_video2,111,3,1,0,0,4,0.37227022647857666,196.46048545837402
2025-11-01T21:58:42.747462,camera_1_video1,112,33,0,3,0,36,0.6474634408950806,198.06170463562012
2025-11-01T21:58:42.834922,camera_2_video2,112,1,0,0,0,1,0.4738869071006775,155.80320358276367
2025-11-01T21:58:42.944020,camera_1_video1,113,31,0,0,1,32,0.6878879070281982,147.70174026489258
2025-11-01T21:58:43.037568,camera_2_video2,113,1,0,0,0,1,0.4397525191307068,154.06322479248047
2025-11-01T21:58:43.146233,camera_1_video1,114,32,0,0,1,33,0.7263194918632507,155.64608573913574
2025-11-01T21:58:43.243846,camera_2_video2,114,1,0,0,0,1,0.43971458077430725,158.3402156829834
2025-11-01T21:58:43.360472,camera_1_video1,115,31,0,0,2,33,0.7197032570838928,167.38271713256836
2025-11-01T21:58:43.456559,camera_2_video2,115,1,0,0,0,1,0.4617651104927063,166.38422012329102
2025-11-01T21:58:43.572898,camera_1_video1,116,34,0,0,2,36,0.6619325280189514,159.82961654663086
2025-11-01T21:58:43.662457,camera_2_video2,116,1,0,0,0,1,0.26989811658859253,156.2645435333252
2025-11-01T21:58:43.787195,camera_1_video1,117,29,0,1,3,33,0.6900273561477661,167.46878623962402
2025-11-01T21:58:43.880978,camera_2_video2,117,2,0,0,0,2,0.4554971754550934,168.26820373535156
