timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms,traffic_signal_status,traffic_density_status,green_time_seconds
2025-11-02T19:40:53.306725,cam_1_video1,103,28,0,0,1,29,0.6414773464202881,466.2318229675293,GREEN,HIGH,30
2025-11-02T19:40:53.580148,cam_2_video2,103,1,0,0,0,1,0.43576493859291077,483.8888645172119,RED,LOW,0
2025-11-02T19:40:53.883800,cam_1_video1,104,27,3,0,0,30,0.6409743428230286,490.5409812927246,GREEN,HIGH,30
2025-11-02T19:40:54.179947,cam_2_video2,104,1,0,0,0,1,0.41030535101890564,519.1521644592285,RED,LOW,0
2025-11-02T19:40:54.504120,cam_1_video1,105,32,3,0,1,36,0.6203104257583618,528.7947654724121,GREEN,HIGH,30
2025-11-02T19:40:54.780648,cam_2_video2,105,1,0,0,0,1,0.3419511914253235,528.9368629455566,RED,LOW,0
2025-11-02T19:40:55.118253,cam_1_video1,106,36,1,0,0,37,0.6252039074897766,530.7450294494629,GREEN,HIGH,30
2025-11-02T19:40:55.402503,cam_2_video2,106,2,0,0,0,2,0.580253005027771,546.9191074371338,RED,LOW,0
2025-11-02T19:40:55.689034,cam_1_video1,107,34,2,0,1,37,0.6484339833259583,490.1289939880371,GREEN,HIGH,30
2025-11-02T19:40:55.952579,cam_2_video2,107,2,0,0,0,2,0.46390634775161743,477.6630401611328,RED,LOW,0
2025-11-02T19:40:56.255382,cam_1_video1,108,31,1,0,0,32,0.6676467657089233,487.11228370666504,GREEN,HIGH,30
2025-11-02T19:40:56.504270,cam_2_video2,108,2,0,0,0,2,0.6179494857788086,477.65111923217773,RED,LOW,0
2025-11-02T19:40:56.899642,cam_1_video1,109,30,2,0,0,32,0.6580935120582581,571.2733268737793,GREEN,HIGH,30
2025-11-02T19:40:57.230773,cam_2_video2,109,2,0,0,0,2,0.5570083856582642,653.0380249023438,RED,LOW,0
2025-11-02T19:40:57.473574,cam_1_video1,110,31,2,0,1,34,0.673145055770874,489.51244354248047,GREEN,HIGH,30
2025-11-02T19:40:57.691698,cam_2_video2,110,1,0,0,0,1,0.3687560558319092,396.56591415405273,RED,LOW,0
2025-11-02T19:40:57.977286,cam_1_video1,111,30,3,0,0,33,0.6903046369552612,434.6024990081787,GREEN,HIGH,30
2025-11-02T19:40:58.231112,cam_2_video2,111,4,0,0,0,4,0.37227022647857666,464.52999114990234,RED,LOW,0
