timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms,traffic_signal_status,traffic_density_status,green_time_seconds
2025-11-02T19:40:42.863204,cam_1_video1,85,36,2,0,0,38,0.6372981071472168,473.3772277832031,RED,HIGH,0
2025-11-02T19:40:43.147654,cam_2_video2,85,1,0,0,0,1,0.8321292400360107,519.9379920959473,GREEN,LOW,30
2025-11-02T19:40:43.443935,cam_1_video1,86,34,1,0,0,35,0.679824948310852,497.5004196166992,RED,HIGH,0
2025-11-02T19:40:43.747854,cam_2_video2,86,2,0,0,0,2,0.5805200934410095,525.0072479248047,GREEN,LOW,30
2025-11-02T19:40:44.073236,cam_1_video1,87,32,0,0,1,33,0.6666861772537231,548.210859298706,RED,HIGH,0
2025-11-02T19:40:44.360510,cam_2_video2,87,3,0,0,0,3,0.3629283010959625,535.1040363311768,GREEN,LOW,30
2025-11-02T19:40:44.683416,cam_1_video1,88,36,1,0,1,38,0.6054862141609192,534.3856811523438,RED,HIGH,0
2025-11-02T19:40:44.966282,cam_2_video2,88,1,0,0,0,1,0.5854138731956482,527.7671813964844,GREEN,LOW,30
2025-11-02T19:40:45.258110,cam_1_video1,89,36,0,0,0,36,0.6629084348678589,489.61734771728516,RED,HIGH,0
2025-11-02T19:40:45.510073,cam_2_video2,89,1,0,0,0,1,0.5454226136207581,469.67458724975586,GREEN,LOW,30
2025-11-02T19:40:45.832843,cam_1_video1,90,42,0,0,2,44,0.582974374294281,496.8850612640381,RED,HIGH,0
2025-11-02T19:40:46.090858,cam_2_video2,90,0,0,0,0,0,0.0,505.321741104126,GREEN,LOW,30
2025-11-02T19:40:46.466734,cam_1_video1,91,44,1,0,0,45,0.5780171155929565,547.7321147918701,RED,HIGH,0
2025-11-02T19:40:46.790148,cam_2_video2,91,2,0,0,0,2,0.7101849913597107,624.0494251251221,GREEN,LOW,30
2025-11-02T19:40:47.039830,cam_1_video1,92,38,0,0,1,39,0.613580048084259,479.73155975341797,RED,HIGH,0
2025-11-02T19:40:47.264926,cam_2_video2,92,2,0,0,0,2,0.5656224489212036,411.83948516845703,GREEN,LOW,30
2025-11-02T19:40:47.522485,cam_1_video1,93,38,0,0,1,39,0.6496981382369995,411.56601905822754,RED,HIGH,0
2025-11-02T19:40:47.753553,cam_2_video2,93,1,0,0,0,1,0.5418311357498169,422.3897457122803,GREEN,LOW,30
